SERIAL No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme
1,Godrej Appliances,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Hardware,SIH1524,219,Smart Resource Conservation
2,Godrej Appliances,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Software,SIH1525,107,Smart Resource Conservation
3,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1526,253,Smart Education
4,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1527,500,Disaster Management
5,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1528,500,Miscellaneous
6,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1529,176,Blockchain & Cybersecurity
7,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1530,500,Renewable / Sustainable Energy
8,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1531,214,Travel & Tourism
9,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1532,500,Clean & Green Technology
10,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1533,500,Robotics and Drones
11,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1534,330,Transportation & Logistics
12,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1535,500,Smart Vehicles
13,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1536,500,"Agriculture, FoodTech & Rural Development"
14,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1537,500,MedTech / BioTech / HealthTech
15,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1538,130,Heritage & Culture
16,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1539,184,Fitness & Sports
17,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1540,500,Smart Automation
18,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1541,156,Toys & Games
19,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1542,115,Space Technology
20,Autodesk,"Research and redesign a conventional aerospace component commonly found in air vehicles and utilize Fusion software to reimagine its design. Students can use Fusion Features such as Generative Design, Topology Optimization, Additive Build etc. The redesigned component should showcase innovation, enhanced functionality, and improved efficiency, all while being optimized for 3D printing.",Hardware,SIH1543,97,Smart Automation
21,Autodesk,"Students are supposed to use Fusion software to generate NC code with machine details & tool library for any industrial component. students should possess technical skills in areas such as CAD/CAM software, G-code programming, toolpath optimization, and machining fundamentals. Additionally, their project ideas should demonstrate a viable solution to a real-world problem, ensuring feasibility and practicality in implementation.",Hardware,SIH1544,84,Smart Automation
22,Department of Science and Technology,"Development of a non-electrical device for tracking the movement of the sun for movement of the solar panels, increasing their efficiency.",Hardware,SIH1545,500,Renewable / Sustainable Energy
23,Department of Science and Technology,Development of innovative design for flushing systems in western toilet sheets which can be used for deployment in public toilets.,Hardware,SIH1546,106,Miscellaneous
24,Department of Science and Technology,Development of an alternative technology to check blockage of blood vessels (an alternative to conventional angiography.,Hardware,SIH1547,114,MedTech / BioTech / HealthTech
25,Department of Science and Technology,Development of a suction based low-cost flush (with less water usage) for deployment in rural areas.,Hardware,SIH1548,82,Miscellaneous
26,Department of Science and Technology,"Development of chemical strip (non-electronic) for identification of high temperature exposure in transportation of medicines/vaccines/FMCG goods, to ensure its usability.",Hardware,SIH1549,119,MedTech / BioTech / HealthTech
27,Department of Science and Technology,Development of portable device (non-contact device) for measurement of eye pressure in glaucoma patients for usage at home.,Hardware,SIH1550,138,MedTech / BioTech / HealthTech
28,Ministry of Agriculture and Farmers Welfare,Smart Irrigation System for Precision Farming,Hardware,SIH1554,500,"Agriculture, FoodTech & Rural Development"
29,Ministry of AYUSH,"Create a Virtual Herbal Garden that provides an interactive, educational, and immersive experience to users, showcasing the diverse range of medicinal plants used in AYUSH (Ayurveda, Yoga & Naturopathy, Unani, Siddha, and Homeopathy).",Software,SIH1555,500,MedTech / BioTech / HealthTech
30,Ministry of AYUSH,"Develop a Smart Yoga Mat integrated with Artificial Intelligence (AI) capabilities to support smart watch integration for tracking progress and provide curated yoga content by experts, while ensuring its affordability.",Hardware,SIH1556,172,MedTech / BioTech / HealthTech
31,Ministry of Coal,"Development of Tyre Maintenance and Operation App, including fitment of necessary IIoT related hardware in Dumpers",Hardware,SIH1557,125,Smart Automation
32,Ministry of Culture,Al-based automated defective exhibit identification system placed in a gallery.,Hardware,SIH1558,98,Smart Automation
33,Ministry of Electronics and Information Technology,Develop a functional solution that demonstrates the hardware enabled root of trust.,Hardware,SIH1559,75,Smart Automation
